code_dec,code_hex,rom_offset,attribute_hex,pin_bank,proportional_start_col,proportional_end_col,proportional_width_units,stored_inverted_columns_hex,active_columns_hex
0,00,0x17A3,8B,top8,0,11,12,FB F5 DF 75 9F F5 DF E3 FD FF FF,04 0A 20 8A 60 0A 20 1C 02 00 00
1,01,0x17AF,8B,top8,0,11,12,E3 DD F7 5D B7 DD F7 DD E7 FF FF,1C 22 08 A2 48 22 08 22 18 00 00
2,02,0x17BB,9B,top8,1,11,11,FF C3 FF 7D BF FD FF C3 FD FF FF,00 3C 00 82 40 02 00 3C 02 00 00
3,03,0x17C7,9A,top8,1,10,10,FF E3 DD 7F 9D FF DD E3 FF FF FF,00 1C 22 80 62 00 22 1C 00 00 00
4,04,0x17D3,98,top8,1,8,8,FF ED 7F A1 FF FD FF FF FF FF FF,00 12 80 5E 00 02 00 00 00 00 00
5,05,0x17DF,A9,top8,2,9,8,FF FF BF 5F FF 5F BF FF FF FF FF,00 00 40 A0 00 A0 40 00 00 00 00
6,06,0x17EB,8B,top8,0,11,12,ED FF 81 7F ED 7F FD 7F BD FF FF,12 00 7E 80 12 80 02 80 42 00 00
7,07,0x17F7,C8,top8,4,8,5,FF FF FF FF B0 FF FF FF FF FF FF,00 00 00 00 4F 00 00 00 00 00 00
8,08,0x1803,8B,top8,0,11,12,F9 FF F6 FF AE FF FE FF FD FF FF,06 00 09 00 51 00 01 00 02 00 00
9,09,0x180F,8B,top8,0,11,12,A1 7F EF 7F F7 BF FB BF 61 FF FF,5E 80 10 80 08 40 04 40 9E 00 00
10,0A,0x181B,8A,top8,0,10,11,BF 61 FF 6F BF EF B1 7F FF FF FF,40 9E 00 90 40 10 4E 80 00 00 00
11,0B,0x1827,8B,top8,0,11,12,6D D7 BB FF BB FF BB D7 6D FF FF,92 28 44 00 44 00 44 28 92 00 00
12,0C,0x1833,8B,top8,0,11,12,01 FF 5F FF B7 FF E1 FF F5 FF FF,FE 00 A0 00 48 00 1E 00 0A 00 00
13,0D,0x183F,8B,top8,0,11,12,F9 F7 AB 5F FB 5F AB F7 F9 FF FF,06 08 54 A0 04 A0 54 08 06 00 00
14,0E,0x184B,8B,top8,0,11,12,FB F5 DF F5 5F F5 DF E3 FD FF FF,04 0A 20 0A A0 0A 20 1C 02 00 00
15,0F,0x1857,0A,bottom8,0,10,11,C7 BB FE BB FE B9 FF BB FF FF FF,38 44 01 44 01 46 00 44 00 00 00
16,10,0x1863,9A,top8,1,10,10,FF AF 55 FF 55 FF 55 EB FF FF FF,00 50 AA 00 AA 00 AA 14 00 00 00
17,11,0x186F,8A,top8,0,10,11,81 7F FF 7F ED 7F ED 93 FF FF FF,7E 80 00 80 12 80 12 6C 00 00 00
18,12,0x187B,8B,top8,0,11,12,C1 BF 6F FF 01 FF 6D FF 6D FF FF,3E 40 90 00 FE 00 92 00 92 00 00
19,13,0x1887,8B,top8,0,11,12,D3 FD D7 FD E3 DF F5 DF E5 FF FF,2C 02 28 02 1C 20 0A 20 1A 00 00
20,14,0x1893,8B,top8,0,11,12,C5 BB FF 75 EF 5D FF BB 47 FF FF,3A 44 00 8A 10 A2 00 44 B8 00 00
21,15,0x189F,8B,top8,0,11,12,E2 DD FB DD F7 DD EF DD A3 FF FF,1D 22 04 22 08 22 10 22 5C 00 00
22,16,0x18AB,A9,top8,2,9,8,FF FF 7F FF FF FF 7F FF FF FF FF,00 00 80 00 00 00 80 00 00 00 00
23,17,0x18B7,8B,top8,0,11,12,F9 77 EB DF BB DF EB 77 F9 FF FF,06 88 14 20 44 20 14 88 06 00 00
24,18,0x18C3,8B,top8,0,11,12,E3 5D FF DD FF DD FF 5D E3 FF FF,1C A2 00 22 00 22 00 A2 1C 00 00
25,19,0x18CF,8B,top8,0,11,12,C3 7D FF FD FF FD FF 7D C3 FF FF,3C 82 00 02 00 02 00 82 3C 00 00
26,1A,0x18DB,8B,top8,0,11,12,FB F5 5F F5 DF F5 5F E3 FD FF FF,04 0A A0 0A 20 0A A0 1C 02 00 00
27,1B,0x18E7,9A,top8,1,10,10,FF E3 5D FF DD FF 5D E3 FF FF FF,00 1C A2 00 22 00 A2 1C 00 00 00
28,1C,0x18F3,9B,top8,1,11,11,FF C3 7F FD FF FD 7F C3 FD FF FF,00 3C 80 02 00 02 80 3C 02 00 00
29,1D,0x18FF,8B,top8,0,11,12,C1 FF D5 FF 95 7F D5 FF DD FF FF,3E 00 2A 00 6A 80 2A 00 22 00 00
30,1E,0x190B,8B,top8,0,11,12,E3 DD F7 DD B7 5D F7 DD E7 FF FF,1C 22 08 22 48 A2 08 22 18 00 00
31,1F,0x1917,8B,top8,0,11,12,57 FF 97 FF C1 FF 97 FF 57 FF FF,A8 00 68 00 3E 00 68 00 A8 00 00
32,20,0x1923,8B,top8,0,11,12,FF FF FF FF FF FF FF FF FF FF FF,00 00 00 00 00 00 00 00 00 00 00
33,21,0x192F,C8,top8,4,8,5,FF FF FF FF 0D FF FF FF FF FF FF,00 00 00 00 F2 00 00 00 00 00 00
34,22,0x193B,A9,top8,2,9,8,FF FF 1F FF FF FF 1F FF FF FF FF,00 00 E0 00 00 00 E0 00 00 00 00
35,23,0x1947,8B,top8,0,11,12,D7 FF 01 FF D7 FF 01 FF D7 FF FF,28 00 FE 00 28 00 FE 00 28 00 00
36,24,0x1953,8B,top8,0,11,12,DB FF AB FF 01 FF AB FF B7 FF FF,24 00 54 00 FE 00 54 00 48 00 00
37,25,0x195F,8B,top8,0,11,12,3F FD 3B F7 EF DF B9 7F F9 FF FF,C0 02 C4 08 10 20 46 80 06 00 00
38,26,0x196B,8B,top8,0,11,12,B3 5F ED 5F B5 FF FB F7 ED FF FF,4C A0 12 A0 4A 00 04 08 12 00 00
39,27,0x1977,C8,top8,4,8,5,FF FF FF FF BF 7F FF FF FF FF FF,00 00 00 00 40 80 00 00 00 00 00
40,28,0x1983,C9,top8,4,9,6,FF FF FF FF C7 BB 7D FF FF FF FF,00 00 00 00 38 44 82 00 00 00 00
41,29,0x198F,A7,top8,2,7,6,FF FF 7D BB C7 FF FF FF FF FF FF,00 00 82 44 38 00 00 00 00 00 00
42,2A,0x199B,8B,top8,0,11,12,EF FF AB D7 EF D7 AB FF EF FF FF,10 00 54 28 10 28 54 00 10 00 00
43,2B,0x19A7,8B,top8,0,11,12,EF FF EF FF 83 FF EF FF EF FF FF,10 00 10 00 7C 00 10 00 10 00 00
44,2C,0x19B3,39,bottom8,3,9,7,FF FF FF F3 FE F1 FF FF FF FF FF,00 00 00 0C 01 0E 00 00 00 00 00
45,2D,0x19BF,8B,top8,0,11,12,EF FF EF FF EF FF EF FF EF FF FF,10 00 10 00 10 00 10 00 10 00 00
46,2E,0x19CB,A7,top8,2,7,6,FF FF F9 FF F9 FF FF FF FF FF FF,00 00 06 00 06 00 00 00 00 00 00
47,2F,0x19D7,9A,top8,1,10,10,FF FD FB F7 EF DF BF 7F FF FF FF,00 02 04 08 10 20 40 80 00 00 00
48,30,0x19E3,8B,top8,0,11,12,C7 BB FF 7D FF 7D FF BB C7 FF FF,38 44 00 82 00 82 00 44 38 00 00
49,31,0x19EF,A9,top8,2,9,8,FF FF BD FF 01 FF FD FF FF FF FF,00 00 42 00 FE 00 02 00 00 00 00
50,32,0x19FB,8B,top8,0,11,12,BD 7F F9 7F F5 7F ED 7F 9D FF FF,42 80 06 80 0A 80 12 80 62 00 00
51,33,0x1A07,8B,top8,0,11,12,7B FF 7D FF 5D FF 2D FF 73 FF FF,84 00 82 00 A2 00 D2 00 8C 00 00
52,34,0x1A13,8B,top8,0,11,12,F7 EF D7 BF 77 FF 01 FF F7 FF FF,08 10 28 40 88 00 FE 00 08 00 00
53,35,0x1A1F,8B,top8,0,11,12,1B FD 5F FD 5F FD 5F FD 63 FF FF,E4 02 A0 02 A0 02 A0 02 9C 00 00
54,36,0x1A2B,8B,top8,0,11,12,F3 ED DF AD 7F ED FF ED F3 FF FF,0C 12 20 52 80 12 00 12 0C 00 00
55,37,0x1A37,8B,top8,0,11,12,7F FF 7D FB 77 EF 5F BF 7F FF FF,80 00 82 04 88 10 A0 40 80 00 00
56,38,0x1A43,8B,top8,0,11,12,93 6D FF 6D FF 6D FF 6D 93 FF FF,6C 92 00 92 00 92 00 92 6C 00 00
57,39,0x1A4F,8B,top8,0,11,12,9F 6F FF 6F FD 6B F7 6F 9F FF FF,60 90 00 90 02 94 08 90 60 00 00
58,3A,0x1A5B,A7,top8,2,7,6,FF FF C9 FF C9 FF FF FF FF FF FF,00 00 36 00 36 00 00 00 00 00 00
59,3B,0x1A67,27,bottom8,2,7,6,FF FF 92 FF 91 FF FF FF FF FF FF,00 00 6D 00 6E 00 00 00 00 00 00
60,3C,0x1A73,89,top8,0,9,10,EF FF D7 FF BB FF 7D FF FF FF FF,10 00 28 00 44 00 82 00 00 00 00
61,3D,0x1A7F,8B,top8,0,11,12,D7 FF D7 FF D7 FF D7 FF D7 FF FF,28 00 28 00 28 00 28 00 28 00 00
62,3E,0x1A8B,AB,top8,2,11,10,FF FF 7D FF BB FF D7 FF EF FF FF,00 00 82 00 44 00 28 00 10 00 00
63,3F,0x1A97,8B,top8,0,11,12,BF 7F FF 7F F5 7F EF 7F 9F FF FF,40 80 00 80 0A 80 10 80 60 00 00
64,40,0x1AA3,8B,top8,0,11,12,C7 BB 7D EF 55 FF 55 FF 85 FF FF,38 44 82 10 AA 00 AA 00 7A 00 00
65,41,0x1AAF,8B,top8,0,11,12,E1 DF B7 7F F7 7F B7 DF E1 FF FF,1E 20 48 80 08 80 48 20 1E 00 00
66,42,0x1ABB,8B,top8,0,11,12,7D 83 7D EF 7D EF 7D EF 93 FF FF,82 7C 82 10 82 10 82 10 6C 00 00
67,43,0x1AC7,8B,top8,0,11,12,83 7D FF 7D FF 7D FF 7D BB FF FF,7C 82 00 82 00 82 00 82 44 00 00
68,44,0x1AD3,8B,top8,0,11,12,7D 83 7D FF 7D FF 7D BB C7 FF FF,82 7C 82 00 82 00 82 44 38 00 00
69,45,0x1ADF,8B,top8,0,11,12,01 FF 6D FF 6D FF 6D FF 7D FF FF,FE 00 92 00 92 00 92 00 82 00 00
70,46,0x1AEB,8B,top8,0,11,12,01 FF 6F FF 6F FF 6F FF 7F FF FF,FE 00 90 00 90 00 90 00 80 00 00
71,47,0x1AF7,8B,top8,0,11,12,83 7D FF 7D EF 7D EF 7D A3 FF FF,7C 82 00 82 10 82 10 82 5C 00 00
72,48,0x1B03,8B,top8,0,11,12,01 FF EF FF EF FF EF FF 01 FF FF,FE 00 10 00 10 00 10 00 FE 00 00
73,49,0x1B0F,A9,top8,2,9,8,FF FF 7D FF 01 FF 7D FF FF FF FF,00 00 82 00 FE 00 82 00 00 00 00
74,4A,0x1B1B,8A,top8,0,10,11,F3 FD FF 7D FF 7D 83 7F FF FF FF,0C 02 00 82 00 82 7C 80 00 00 00
75,4B,0x1B27,8B,top8,0,11,12,01 FF EF FF D7 FF BB FF 7D FF FF,FE 00 10 00 28 00 44 00 82 00 00
76,4C,0x1B33,8B,top8,0,11,12,01 FF FD FF FD FF FD FF FD FF FF,FE 00 02 00 02 00 02 00 02 00 00
